Dataset No.,Category Rank,Dataset Name,Publication/Release Year,Source/Repository,Dataset Link,Associated Paper,DOI,Data Category,Data Type,Solar Asset,Data Variables,Image Resolution,Number of Samples,Defect Classes,Geographic Location,Real or Synthetic,Collection Period,Access,Research Applications,Verification Status,Scope Note
30,C05,SolarFCD: Large-Scale Solar Fault Classification Dataset,2026,arXiv/public release,https://arxiv.org/abs/2604.23662,SolarFCD: A Large-Scale Dataset and Benchmark for Solar Fault Classification in Photovoltaic Systems,10.48550/arXiv.2604.23662,Multimodal,RGB and thermal images; unified labels,PV panels,healthy; surface obstruction; structural fault; electrical fault,NR,4435,4 unified classes,Mixed source regions,Real curated + targeted augmentation,NR,Open/public release reported,fault classification; benchmark,Verified paper; final repository DOI not identified,New harmonized dataset; source duplicates removed within dataset construction
31,D01,Module level IV curve data set,2024,DTU Figshare,https://figshare.com/articles/dataset/Module_level_IV_curve_data_set/27901599/1,Benchmarking equivalent circuit models for the IV characteristic of bifacial photovoltaic modules,10.1051/epjpv/2024046,Electrical Time-Series,text/CSV IV curves,bifacial modules,I-V; module temperature; front/rear POA irradiance,N/A,1.09 GB,NR,DTU Risø Denmark,Real field,2023-05 to 2024-04,Open CC BY 4.0,equivalent-circuit modeling; performance,Verified repository record,Strong module-level field dataset
32,D02,Electrical Data Collection of a Set of Mini Panels in Indoor and Outdoor Environments,2025,Mendeley Data,https://data.mendeley.com/datasets/sc3y5gks5d/1,NR,10.17632/sc3y5gks5d.1,Electrical Time-Series,MAT time series,20 mini-panels,V; I; I-V; irradiance; temperature,N/A,20 panels; 3 tests,partial shading/direct/reverse/dark,Medellin Colombia,Real experimental,2022-06-22 and 2023-08-28 plus test 3,Open CC BY 4.0,parameter estimation; shading analysis,Verified repository record,Published 2025
33,D03,Partial Shading Condition Data for Validating Direct GMPP Computation,2025,Figshare,https://figshare.com/articles/dataset/Partial_Shading_Condition_Data_for_Validating_Direct_GMPP_Computation_in_Photovoltaic_Systems/28691804,NR,10.6084/m9.figshare.28691804.v1,Electrical Time-Series,XLSX,series PV array,module/array MPP V/I; irradiance; temperature; actual/estimated GMPP,N/A,NR,partial shading scenarios,NR,Empirical reported,NR,Open CC BY 4.0,MPPT/GMPP validation,Verified repository record,Empirical claim from repository
34,D04,Numerical Results derived from Fractional Area-based Computation of GMPP Across 500 PSCs,2025,Figshare,https://figshare.com/articles/dataset/Numerical_Results_derived_from_Fractional_Area-based_Computation_of_GMPP_Across_500_PSCs/29108624,NR,10.6084/m9.figshare.29108624.v1,Electrical Time-Series,document/tabular numerical output,3-module PV string,GMPP; PSC,N/A,500 PSCs,partial shading,NR,Synthetic/calculated,NR,Open CC BY 4.0,GMPP method benchmarking,Verified repository record,Synthetic/calculated
35,D05,Data PVT,2026,Mendeley Data,https://data.mendeley.com/datasets/xwcyp5j9pz/3,NR,10.17632/xwcyp5j9pz.3,Multimodal,Excel time series,4 PV/PVT modules,V1-V4; I1-I4; module powers; ambient/fluid temperatures; irradiance; wind; flow,N/A,22 columns,NR,Espírito Santo Brazil,Real experimental,NR,Open CC BY 4.0,PV/T performance; forecasting,Verified repository record,Released March 2026
36,D06,Photovoltaic Generation Dataset from IFES Serra Brazil,2025,Mendeley Data,https://data.mendeley.com/datasets/z2dm9z7y4n/1,NR,10.17632/z2dm9z7y4n.1,PV Performance/Operational,CSV/Excel; 15-min processed,3 kWp and 119 kWp plants,temperature; current; power; energy; operating mode,N/A,NR,operating mode/fault indications,Serra Espírito Santo Brazil,Real operational,2023-01 to 2025-07,Open CC BY 4.0,monitoring; diagnostics; forecasting,Verified repository record,Two distinct plants in one dataset
37,D07,Photovoltaic Power Production Dataset,2025,Mendeley Data,https://data.mendeley.com/datasets/dbh93b6vp8/3,NR,10.17632/dbh93b6vp8.3,PV Performance/Operational,Excel workbooks,9 PV plants,timestamp; produced energy; specific energy; CO2 avoided; capacity,N/A,9 plants,NR,Portugal,Real operational,site-dependent,Open CC BY 4.0,performance benchmarking; forecasting,Verified repository record,Version 3 only; older version not separately counted
38,D08,Solar Energy Production Time Series Data,2024,Mendeley Data,https://data.mendeley.com/datasets/2tpv28kr83/2,NR,10.17632/2tpv28kr83.2,Multimodal,dataframe/CSV plus code,solar energy system,production; weather endogenous/exogenous inputs,N/A,NR,NR,Turkey,Real/processed (repository description),NR,Open CC BY 4.0,forecasting; EDA,Verified repository record,Metadata sparse
39,D09,Solar Panel Data Jaipur,2024,Mendeley Data,https://data.mendeley.com/datasets/82jswfyz5p/1,NR,10.17632/82jswfyz5p.1,Multimodal,tabular time series,20 kW + 100 kW rooftop inverters,V; I; output; GHI/DNI/DHI; temperature; cloud; humidity; wind; pressure; pollution,N/A,30-min daytime records,technical breakdown,Jaipur Rajasthan India,Real PV + external weather,2022,Open CC BY 4.0,performance; environmental impact; prediction,Verified repository record,Operational system
40,D10,High-resolution three-year rooftop PV dataset,2024,Dryad/Springer Nature,https://datadryad.org/dataset/doi:10.5061/dryad.m37pvmd99,A high-resolution three-year dataset supporting rooftop photovoltaics generation analytics,10.1038/s41597-025-04397-y,Multimodal,CSV; Turtle metadata,60 rooftop stations/6085 modules,inverter V/I/power/frequency; irradiance; weather,N/A,60 stations; 3 years at 5-min PV/1-min weather,operational anomalies possible,Sai Kung Hong Kong,Real operational,2021-01-01 to 2023-12-31,Open CC0,forecasting; faults; degradation; benchmarking,Verified repository and paper,Top-tier real dataset
41,D11,Longitudinal Dataset of Net-load PV Production and Solar Irradiation (PTProsumer),2025,OSF/Springer Nature,https://osf.io/9xs3a/,Longitudinal Dataset of Net-load PV Production and Solar Irradiation from Madeira Island Portugal,10.1038/s41597-025-06118-x,Multimodal,CSV/GZIP,24 residential/small commercial prosumers,PV production; net load; irradiance,N/A,~3.89 billion points; 24 sites,NR,Madeira Portugal,Real electrical + estimated irradiance,2018-2024 (3 months to 5 years/site),Open,forecasting; flexibility; grid resilience,Verified paper and repository,1-second electrical resolution
42,D12,A real-world energy management dataset from a smart company building,2024,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.73n5tb363,A Real-World Energy Management Data Set from a Smart Company Building,10.5061/dryad.73n5tb363,Multimodal,CSV.GZ at 1-min/15-min/1-h,building rooftop PV,PV power/energy; load; CHP; GNI; ambient temperature; HVAC,N/A,6 years; 102.61 GB raw,NR,Germany,Real operational,2018-01-01 to 2024-01-01,Open CC0,optimization; forecasting; energy management,Verified repository record,PV is one major subsystem
43,D13,Monitoring Data TRUST-PV Bifacial HJT SAT Plant Bolzano,2025,Zenodo,https://zenodo.org/records/14766289,TRUST-PV project,10.5281/zenodo.14766289,Multimodal,CSV time series,48 bifacial HJT modules/single-axis trackers,front/rear irradiance; active power; tracker/plant channels,N/A,1 year; 4 trackers; 48 modules,NR,Bolzano Italy,Real operational,2024-01-01 to 2024-12-31,Open CC BY 4.0,bifacial performance; tracker monitoring,Verified repository record,Excellent field relevance
44,D14,Photovoltaic (PV) Generation Dataset with Orientation Diversity,2026,Zenodo,https://zenodo.org/records/19245713,Short-term forecasting of rooftop photovoltaic energy generation using machine learning techniques,NR,Multimodal,raw/processed tabular time series,5 rooftop PV orientations,PV generation; temperature; dew point; wind; pressure; weather; radiation; incidence angle,N/A,7080 hourly records,NR,NR,Real experimental rooftop,~1 year,Open,short-term forecasting; orientation analysis,Verified repository page,Published March 2026
45,D15,Dataset for daily energy management renewable generation consumption and storage,2025,Zenodo,https://zenodo.org/records/15394961,NR,10.5281/zenodo.15394961,PV Performance/Operational,XLSX,PV plus storage/load,PV kW; consumption; price; seasonal scenario,N/A,8760 hourly historical + scenario sets,NR,Portugal/Europe context,Real historical + derived scenarios,2023,Open CC BY 4.0,energy management; optimization,Verified repository record,PV generation provenance should be checked
46,D16,Electricity Demand Solar and Wind Generation Data of India,2025,Mendeley Data,https://data.mendeley.com/datasets/y58jknpgs8/2,NR,10.17632/y58jknpgs8.2,PV Performance/Operational,CSV/tabular hourly,regional grid solar fleet,solar generation; wind; demand; PMU/grid quantities,N/A,hourly national/regional series,NR,India,Real grid operational,2021-09 to 2025-06,Open CC BY 4.0,forecasting; grid analysis,Verified repository record,Aggregated solar fleet rather than plant-level
47,D17,United States Utility-Scale Solar PV Representative Profiles 1998-2023,2025,OEDI/NREL,https://data.openei.org/submissions/8433,NR,NR,PV Performance/Operational,hourly profile files,utility-scale PV,representative generation/capacity factor,N/A,26 years,NR,USA,Modeled/validated profiles,1998-2023,Open,resource adequacy; planning,Verified OEDI record,Not direct measurements
48,D18,Utility-Scale Solar 2025 Edition,2025,OEDI/LBNL,https://data.openei.org/submissions/8541,Utility-Scale Solar 2025 Edition,NR,PV Performance/Operational,XLSX; ZIP hourly estimates,1760 utility-scale projects,capacity; generation; capacity factor; costs; PPA; curtailment; storage,N/A,1760 projects; 57 workbook tabs,NR,USA,Mixed empirical metadata + modeled/debiased hourly generation,through 2024,Open CC BY 4.0,plant benchmarking; market/performance analysis,Verified OEDI record,Distinct 2025 annual edition
49,D19,Utility-Scale Solar 2024 Edition,2024,OEDI/LBNL,https://data.openei.org/submissions/6200,Utility-Scale Solar 2024 Edition,10.25984/2460457,PV Performance/Operational,XLSX; ZIP hourly estimates,utility-scale PV/PV+battery/CSP,generation; capacity value; curtailment; project metadata,N/A,NR,NR,USA,Mixed empirical + modeled/debiased,through 2023,Open CC BY 4.0,plant performance; market value,Verified OEDI record,Annual edition retained as separate frozen snapshot
50,D20,Distributed Solar and Storage 2025 Data Update,2025,LBNL,https://trackingthesun.lbl.gov/,U.S. Distributed Solar and Storage 2025 Data Update,NR,PV Performance/Operational,project-level public data file,distributed PV and PV+storage,size; price; module/inverter; storage; customer/site attributes,N/A,~4.9 million systems; 515000 installed in 2024,NR,USA,Real administrative/project data,through 2024,Open public file,deployment; cost; technology trends,Verified report and portal,Not generation time series
51,D21,2024 County-Level Hourly Renewable Capacity Factor Dataset for ReEDS,2025,OEDI/NREL,https://data.openei.org/submissions/8379,Renewable Energy Technical Potential and Supply Curves 2024 Edition,NR,Electrical Time-Series,HDF5 ZIP,distributed and utility PV,hourly capacity factor; county/resource class,N/A,15 weather years; 10.19 GB all technologies,NR,CONUS,Modeled,2007-2013 and 2016-2023 weather years,Open CC BY 4.0,capacity expansion; forecasting scenarios,Verified OEDI record,Solar subsets within multi-technology package
52,D22,United States Utility-Scale PV Supply Curves 2024,2025,OEDI/NREL,https://data.openei.org/submissions/8319,Renewable Energy Technical Potential and Supply Curves 2024,NR,PV Performance/Operational,CSV; HDF5/profile; TIFF,utility-scale PV,capacity; generation; LCOE; LCOT; exclusions; hourly profiles,N/A,~60000 sites,NR,CONUS,Modeled/derived,2024 edition,Open (some files marked not available on index),siting; planning; capacity expansion,Verified OEDI record,Access varies by resource
53,D23,A Multi-Decadal Hourly Coincident Wind and Solar Power Production Dataset for CONUS,2024,Zenodo/Springer Nature,https://zenodo.org/records/8325956,A Multi-Decadal Hourly Coincident Wind and Solar Power Production Dataset for the Contiguous United States,10.1038/s41597-024-03894-w,Electrical Time-Series,hourly CSV/data files,balancing-area solar fleet,solar generation; infrastructure build-out,N/A,multi-decadal hourly,NR,CONUS,Modeled/validated,2007-2020 validation set plus longer modeled period,Open,resource adequacy; grid modeling,Verified paper/repository,Includes wind but solar is explicit
54,D24,Datasets for Renewables Power Supply Forecasting from Weather over France,2025,Zenodo,https://zenodo.org/records/15350669,NR,10.5281/zenodo.15350669,Multimodal,dataset file; train/val/test,French PV fleet,PV production; capacity-weighted ERA5 weather; price,N/A,2012-2023 hourly,NR,France,Real aggregate production + reanalysis weather,2012-2023,Open CC BY-NC 4.0,forecasting; ML benchmarking,Verified repository record,Includes wind alongside solar
55,D25,High-resolution working layouts and time series for renewable generation in Europe,2024,Figshare/Elsevier,https://doi.org/10.6084/m9.figshare.22439254,High-resolution working layouts and time series for renewable energy generation in Europe,10.1016/j.renene.2024.121865,Electrical Time-Series,geospatial layouts; time series,European PV fleet,installed capacity layout; generation,N/A,NR,NR,Mainland Europe,Modeled/estimated,NR,Open,energy-system modeling,Verified paper/data DOI,Includes wind and PV
56,D26,SECURES-Energy,2024,Zenodo,https://zenodo.org/records/14615500,NR,10.5281/zenodo.14615500,Electrical Time-Series,ZIP; hourly profiles,regional PV fleet,PV profile; demand; temperature; sector loads,N/A,NR,NR,Europe/Switzerland context,Modeled/derived,NR,Open CC BY 4.0,energy-system scenarios,Verified repository record,Multi-energy dataset
57,D27,ENTSO-E ERAA 2023 files in Parquet format,2024,Zenodo,https://zenodo.org/records/10823066,ERAA 2023,10.5281/zenodo.10823066,Electrical Time-Series,Parquet,rooftop and utility PV fleet,capacity factors; demand,N/A,NR,NR,Europe,Modeled,2025/2028/2030/2033 scenarios,Open,adequacy modeling,Verified repository record,Released 2024; scenario data
58,D28,Dataset for distributed BESS in high-PV-saturated LV networks,2025,Zenodo,https://zenodo.org/records/15655113,Impact of distributed BESS controlled by optimization-based HEMS,10.5281/zenodo.15655113,PV Performance/Operational,CSV; OpenDSS outputs,prosumer PV/LV network,PV generation; irradiance; temperature; voltage; current; BESS SoC,N/A,554.63 MB,overvoltage/PV shutdown,Poland,Simulation using actual network/input profiles,NR,Open CC BY 4.0,voltage control; BESS optimization,Verified repository record,Network model itself proprietary
59,D29,Artificial Intelligence for Robust Integration of AMI and Synchrophasor Data to Boost Solar Adoption,2025,OEDI/Arizona State University,https://data.openei.org/submissions/8345,Project dataset,NR,PV Performance/Operational,model/data files,high-PV feeder,AMI; synchrophasor; voltage; PV penetration; bad-data labels,N/A,NR,overvoltage/bad data,Arizona USA,Mixed real/simulated,NR,Open,state estimation; voltage regulation,Verified OEDI record,Check resource-level provenance
60,D30,Battery Storage Optimization Dataset,2025,Mendeley Data,https://data.mendeley.com/datasets/53fmd7k5db/1,Flexibility Optimization from Distributed Storage Resources under Stochastic Uncertainties,10.17632/53fmd7k5db.1,PV Performance/Operational,time series,PV+BESS/EV system,PV generation; load; EV charging,N/A,NR,NR,Brazil context,Scenario data; provenance not explicit,NR,Open CC BY 4.0,flexibility; storage optimization,Verified repository record,Lower priority due uncertain measurement provenance
61,E01,U.S. Agrivoltaics Irradiance Database,2025,OEDI/NLR,https://data.openei.org/submissions/8568,InSPIRE documentation,10.25984/3363762,Environmental Time-Series,S3 gridded hourly files,agrivoltaic PV configurations,GHI; shading; wind; estimated power; farmable area,N/A,5.12 TB; 4x4 km; 10 configurations,NR,CONUS and Hawaii,Modeled from NSRDB/SAM,NR,Open CC BY 4.0,agrivoltaic design; resource analysis,Verified OEDI record,Large modeled environmental dataset
62,E02,Time series weather dataset for predicting photovoltaic Energy in Portugal,2024,Mendeley Data,https://data.mendeley.com/datasets/m26hk4ysvz/1,NR,10.17632/m26hk4ysvz.1,Environmental Time-Series,tabular time series,PV forecasting site,temperature; humidity; wind; solar radiation; precipitation,N/A,NR,NR,Évora Portugal,Real weather station,NR,Open CC BY 4.0,PV forecasting; weather modeling,Verified repository record,No direct PV output stated
